1;444;444;INSERT;146057.06;250
1;444;444;SCAN;184618.21;250
2;2017;1573;INSERT;114706.82;250
2;2017;1573;SCAN;148729.9;250
3;3242;1225;INSERT;151996.74;250
3;3242;1225;SCAN;167340.04;250
4;4447;1205;INSERT;134741.38;250
4;4447;1205;SCAN;206249.55;250
5;5606;1159;INSERT;209074.28;250
5;5606;1159;SCAN;215694.86;250
6;6853;1247;INSERT;153265.81;250
6;6853;1247;SCAN;210012.59;250
7;8029;1176;INSERT;124057.12;250
7;8029;1176;SCAN;217425.57;250
8;9238;1209;INSERT;259725.16;250
8;9238;1209;SCAN;218453.36;250
9;10423;1185;INSERT;231172.26;250
9;10423;1185;SCAN;218987.61;250
10;11631;1208;INSERT;223417.44;250
10;11631;1208;SCAN;215694.85;250
11;12825;1194;INSERT;215218.59;250
11;12825;1194;SCAN;207065.31;250
12;14051;1226;INSERT;200715.72;250
12;14051;1226;SCAN;204212.65;250
13;15278;1227;INSERT;134408.7;250
13;15278;1227;SCAN;185526.13;250
14;16499;1221;INSERT;197623.02;250
14;16499;1221;SCAN;202920.59;250
15;17674;1175;INSERT;183028.63;250
15;17674;1175;SCAN;203258.48;250
16;18897;1223;INSERT;221810.7;250
16;18897;1223;SCAN;203972.07;250
17;20117;1220;INSERT;213164.43;250
17;20117;1220;SCAN;204573.91;250
18;21307;1190;INSERT;218802.98;250
18;21307;1190;SCAN;210721.69;250
19;22535;1228;INSERT;152119.05;250
19;22535;1228;SCAN;217812.76;250
20;23736;1201;INSERT;133034.4;250
20;23736;1201;SCAN;197770.05;250
21;24951;1215;INSERT;223636.23;250
21;24951;1215;SCAN;210516.42;250
22;26161;1210;INSERT;211264.6;250
22;26161;1210;SCAN;204099.11;250
23;27387;1226;INSERT;164680.39;250
23;27387;1226;SCAN;223882.67;250
24;28570;1183;INSERT;179287.25;250
24;28570;1183;SCAN;205748.42;250
25;29817;1247;INSERT;178798.83;250
25;29817;1247;SCAN;189102.4;250
26;30989;1172;INSERT;204234.16;250
26;30989;1172;SCAN;215727.85;250
27;32219;1230;INSERT;181131.82;250
27;32219;1230;SCAN;203003.44;250
28;33418;1199;INSERT;179701.3;250
28;33418;1199;SCAN;210771.76;250
29;34647;1229;INSERT;246195.05;250
29;34647;1229;SCAN;206461.29;250
30;35877;1230;INSERT;167725.24;250
30;35877;1230;SCAN;208818.9;250
31;37042;1165;INSERT;224190.6;250
31;37042;1165;SCAN;201516.86;250
32;38269;1227;INSERT;124388.02;250
32;38269;1227;SCAN;211507.16;250
33;39471;1202;INSERT;176912.07;250
33;39471;1202;SCAN;205767.49;250
34;40648;1177;INSERT;178954.29;250
34;40648;1177;SCAN;217379.62;250
35;41886;1238;INSERT;198845.36;250
35;41886;1238;SCAN;202144.59;250
36;43050;1164;INSERT;109344.7;250
36;43050;1164;SCAN;210028.45;250
37;44287;1237;INSERT;221796.94;250
37;44287;1237;SCAN;226086.57;250
38;45476;1189;INSERT;198441.43;250
38;45476;1189;SCAN;206582.2;250
39;46695;1219;INSERT;179559.49;250
39;46695;1219;SCAN;223180.75;250
40;47886;1191;INSERT;196891.84;250
40;47886;1191;SCAN;210688.7;250
41;49114;1228;INSERT;137149.07;250
41;49114;1228;SCAN;206361.4;250
42;50328;1214;INSERT;222236.77;250
42;50328;1214;SCAN;197962.38;250
43;51558;1230;INSERT;164136.12;250
43;51558;1230;SCAN;186984.91;250
44;52744;1186;INSERT;201617.91;250
44;52744;1186;SCAN;208625.67;250
45;53995;1251;INSERT;251043.93;250
45;53995;1251;SCAN;200780.42;250
46;55209;1214;INSERT;162126.04;250
46;55209;1214;SCAN;199575.91;250
47;56412;1203;INSERT;237025.2;250
47;56412;1203;SCAN;209126.34;250
48;57593;1181;INSERT;150931.93;250
48;57593;1181;SCAN;231587.67;250
49;58793;1200;INSERT;238730.11;250
49;58793;1200;SCAN;232990.14;250
50;60022;1229;INSERT;150591.58;250
50;60022;1229;SCAN;186184.64;250
51;61208;1186;INSERT;216051.65;250
51;61208;1186;SCAN;195947.03;250
52;62400;1192;INSERT;109896.77;250
52;62400;1192;SCAN;221310.73;250
53;63626;1226;INSERT;129737.27;250
53;63626;1226;SCAN;213050.88;250
54;64805;1179;INSERT;201494.81;250
54;64805;1179;SCAN;191397.83;250
55;66009;1204;INSERT;125436.8;250
55;66009;1204;SCAN;209544.6;250
56;67109;1100;INSERT;168053.28;250
56;67109;1100;SCAN;227192.3;250
57;68386;1277;INSERT;166424.03;250
57;68386;1277;SCAN;206883.06;250
58;69651;1265;INSERT;245402.57;250
58;69651;1265;SCAN;223017.43;250
59;70855;1204;INSERT;230656.69;250
59;70855;1204;SCAN;191426.75;250
60;72078;1223;INSERT;181433.51;250
60;72078;1223;SCAN;189946.27;250
61;73301;1223;INSERT;147712.72;250
61;73301;1223;SCAN;208514.62;250
62;74513;1212;INSERT;185138.54;250
62;74513;1212;SCAN;210479.01;250
63;75697;1184;INSERT;200683.38;250
63;75697;1184;SCAN;222916.68;250
64;76904;1207;INSERT;157475.25;250
64;76904;1207;SCAN;198596.81;250
65;78115;1211;INSERT;219835.42;250
65;78115;1211;SCAN;213623.18;250
66;79315;1200;INSERT;184444.26;250
66;79315;1200;SCAN;226503.39;250
67;80473;1158;INSERT;135083.82;250
67;80473;1158;SCAN;220792.09;250
68;81652;1179;INSERT;208843.34;250
68;81652;1179;SCAN;210704.17;250
69;82868;1216;INSERT;220025.23;250
69;82868;1216;SCAN;206404.21;250
70;84074;1206;INSERT;169527.08;250
70;84074;1206;SCAN;209086.63;250
71;85293;1219;INSERT;167374.6;250
71;85293;1219;SCAN;199106.43;250
72;86517;1224;INSERT;167627.57;250
72;86517;1224;SCAN;199351.1;250
73;87728;1211;INSERT;169355.3;250
73;87728;1211;SCAN;195289.99;250
74;88964;1236;INSERT;182659;250
74;88964;1236;SCAN;205606.71;250
75;90170;1206;INSERT;233838.67;250
75;90170;1206;SCAN;195568.3;250
76;91362;1192;INSERT;208921.1;250
76;91362;1192;SCAN;213808.01;250
77;92580;1218;INSERT;238480.73;250
77;92580;1218;SCAN;227305.53;250
78;93788;1208;INSERT;170356.29;250
78;93788;1208;SCAN;187197.18;250
79;94991;1203;INSERT;173811.86;250
79;94991;1203;SCAN;208289.2;250
80;96238;1247;INSERT;212923;250
80;96238;1247;SCAN;204369.94;250
81;97414;1176;INSERT;210708.38;250
81;97414;1176;SCAN;208406.05;250
82;98604;1190;INSERT;197209.78;250
82;98604;1190;SCAN;210177.46;250
83;99782;1178;INSERT;153556.52;250
83;99782;1178;SCAN;218799.74;250
84;100996;1214;INSERT;231291.02;250
84;100996;1214;SCAN;211537.78;250
85;102216;1220;INSERT;181171.95;250
85;102216;1220;SCAN;217272.84;250
86;103416;1200;INSERT;143038.43;250
86;103416;1200;SCAN;191205.99;250
87;104616;1200;INSERT;185770.97;250
87;104616;1200;SCAN;208906.9;250
88;105841;1225;INSERT;185595.91;250
88;105841;1225;SCAN;205207.94;250
89;107077;1236;INSERT;163279.3;250
89;107077;1236;SCAN;200744.09;250
90;108268;1191;INSERT;153820.81;250
90;108268;1191;SCAN;213841.61;250
91;109457;1189;INSERT;181471.3;250
91;109457;1189;SCAN;233418.02;250
92;110714;1257;INSERT;198667.72;250
92;110714;1257;SCAN;187132.92;250
93;111932;1218;INSERT;258838.68;250
93;111932;1218;SCAN;222155.32;250
94;113154;1222;INSERT;185996.96;250
94;113154;1222;SCAN;207110.29;250
95;114369;1215;INSERT;214175.5;250
95;114369;1215;SCAN;209656.54;250
96;115588;1219;INSERT;165621.93;250
96;115588;1219;SCAN;209556.98;250
97;116811;1223;INSERT;215845.87;250
97;116811;1223;SCAN;200608.02;250
98;118033;1222;INSERT;191020.32;250
98;118033;1222;SCAN;207635.41;250
99;119221;1188;INSERT;172089;250
99;119221;1188;SCAN;186737.44;250
100;120399;1178;INSERT;172098.65;250
100;120399;1178;SCAN;202287.49;250
101;121593;1194;INSERT;162875.25;250
101;121593;1194;SCAN;212784.99;250
102;122828;1235;INSERT;203756.43;250
102;122828;1235;SCAN;218997.24;250
103;124002;1174;INSERT;147080.04;250
103;124002;1174;SCAN;199908.9;250
104;125191;1189;INSERT;222840.94;250
104;125191;1189;SCAN;205747.84;250
105;126380;1189;INSERT;206297.93;250
105;126380;1189;SCAN;221841.21;250
106;127632;1252;INSERT;239431.22;250
106;127632;1252;SCAN;196457.06;250
107;128885;1253;INSERT;223064.61;250
107;128885;1253;SCAN;208120.1;250
108;130104;1219;INSERT;132152.44;250
108;130104;1219;SCAN;194687.81;250
109;131320;1216;INSERT;146982.61;250
109;131320;1216;SCAN;209214.85;250
110;132538;1218;INSERT;204512.82;250
110;132538;1218;SCAN;224093.96;250
111;133729;1191;INSERT;207789.39;250
111;133729;1191;SCAN;222785.89;250
112;134955;1226;INSERT;192336.28;250
112;134955;1226;SCAN;198826.25;250
113;136139;1184;INSERT;193434.51;250
113;136139;1184;SCAN;218833.44;250
114;137321;1182;INSERT;217563.52;250
114;137321;1182;SCAN;213706.39;250
115;138525;1204;INSERT;207168.58;250
115;138525;1204;SCAN;199629.58;250
116;139745;1220;INSERT;184720.37;250
116;139745;1220;SCAN;173681.8;250
117;141007;1262;INSERT;144547.03;250
117;141007;1262;SCAN;206465.52;250
118;142207;1200;INSERT;206755.97;250
118;142207;1200;SCAN;206135.72;250
119;143409;1202;INSERT;270028.46;250
119;143409;1202;SCAN;202944.68;250
120;144671;1262;INSERT;209101.36;250
120;144671;1262;SCAN;225488.24;250
121;144973;302;CLEANUP;1;250
121;144973;302;INSERT;194141.3;250
121;144973;302;SCAN;317295.29;250
122;144973;0;CLEANUP;2215718;250
